; 初始场景，以及特效演示
bgm:s_Title.mp3;
unlockBgm:s_Title.mp3 -name=雲を追いかけて;
intro:你好|欢迎来到 WebGAL 的世界;
changeBg:bg.png -next;
unlockCg:bg.png -name=良夜; // 解锁CG并赋予名称
changeFigure:mbv_wuyu.png -left -next;
changeFigure:mbv_shengqi.png -right -next;
changeFigure:mbv_chenmo.png -right -next;
setAnimation:enter-from-left -target=fig-left -next;
MBV妹:没有逆转精神的东西！ -v1.wav -fontSize=default;
:还有半圈，跑完就结束了。太长了。;
好想和操场中间那群人玩游戏啊，跑了半小时了他们怎么还没结束。;
唉，下学期绝对不选晚课了，每次都是下午饿疯了什么都没听进去，晚上天天吃碳水熬夜赶project。;
真是快乐又罪恶，体重何时才能减下来啊？减脂计划什么时候才能成功一次啊？;
好像就没实现过。好吧。;
最后五十米。;
Hey man，slow down，slow down。Idiot，slow down，slow down。;
撑不住了。;
Hey man，slow down，slow down。Idiot，slow down，slow down。;
可恶啊，想冲刺，没力气了。下午听太多OK Computer了，满脑子都是桶木腰的回音。;
呼，终于解脱了。;
水，我要水。I'm thirsty。;
（弯腰低头扶膝盖喘气）;
烦死了。操场中间那群人到底在玩什么啊这么吵？妈的，没戴耳机来真是失策。;
诶，那不是昨天骑车吃饭路上碰到的人吗，穿滚石T恤的，上来就要加微信，只因我穿了Can的衣服。;
她说Can的衣服不多见，我说废话这是我自己印的。真是莫名其妙。;
可这地方没多少人听摇滚，能认识一个是一个吧。;
(nirvana):你好厉害啊，跑了这么久。;
:谁啊，是在跟我说话吗？;
（抬头）我去，不请自来。;
(rh):Hi。; 
:在努力微笑了，在努力看着她的眼睛了。完了，我好怕她介意。;
(nirvana):我们在打狼人杀，要不要一起？;
(rh):哦，没兴趣。;
:妈的最烦狼人杀了，感觉脑子缺根筋的现充才玩。打完一局还能盘半天，吵得要死。;
有人说要不是为了社交，谁还玩这个？可真有人社交愿意玩这种参与度极低的东西？死得早还要干等着，感觉不如阿瓦隆半点.;
尽管阿瓦隆也是现充时尚单品。;
等等，我刚刚是不是我言重了，她该不会不开心吧。她脸色看上去是不太好的样子…;
…完了，好不容易认识一个同好，缘分就要断在我手里了吗？怎么办？怎么办啊！;
好烦啊！我又把人际关系搞砸了，我真不擅长处理这个。怎么办？怎么办啊！;
为什么，为什么她可以云淡风轻毫无顾忌地邀请没认识多久的人一起玩，我要是有她一半自信就好了。她真的不怕被人拒绝吗？;
可是，可是我刚刚已经拒绝她一次了。她该不会不开心吧。;
她看上去是那种一呼百应的阔佬，要是得罪了她，感觉我很可能在这里混不下去了，就像我初中那样。;
靠，她会不会是那种太妹，要是惹她生气能被她的小跟班拎上天台暴揍三小时，头发被扯，手臂被扎，告诉老师还要被拉偏架。别吧。怎么办。;
那电线杆上贴着什么东西花花绿绿的？Carsick Cars的演出！;
对了！我可以邀请她一起看演出啊！她应该听晕晕车的吧。;
什么时候啊？这周六！;
哇，不错，这周六她应该没什么安排的吧。;
万一她有安排怎么办？怎么办？怎么办啊！;
要不还是问问她好了……要是被拒绝了怎么办？天呐，我可不擅长处理这个。怎么办？;
算了，硬着头皮试试吧，反正被拒绝不差这一次……毕竟，我已经拒绝她一次了。;
(rh):那个……要不要过两天去听CSC？就那个Carsick…;
(nirvana):妈卖批，我刚才还想问你，你给我憋回去了。;
